Model,Accuracy,F1 Score (Macro)
Baseline RF,0.9879592255592803,0.7629080324346802
Bagging,0.9860436478073477,0.7625131332387379
Tuned RF,0.9854963398782239,0.7717383105533548
Gradient Boosting,0.9789286447287405,0.7532353210721539
AdaBoost,0.9769446534856674,0.7218982328201512
